"=""Recurso""";"=""Unid.""";"=""Média""";"=""CMA""";"=""Simulado""";"=""Qtd.Est.""";"=""Ped.Pend.""";"=""Saldo""";"=""Cust.Unit.""";"=""TRP""";"=""DEE"""
"=""501391 - PARAF SEXT 1 X 4 UNC""";"=""Un""";"0";"0";"1";"0";"0";"-1";"13,7";;"0"
"=""501392 - ARRUELA LISA GALV 1""""""";"=""Un""";"0";"0";"1";"0";"0";"-1";"1,42";;"0"
"=""501393 - ESTAÇÃO DE SOLDA DIGITAL CONJUGADA""";"=""Un""";"0";"0";"1";"0";"0";"-1";"1150";;"0"
"=""501485 - ROLAMENTO 6204EE NTN""";"=""Un""";"0";"0";"1";"0";"0";"-1";"23,4";;"0"
"=""501495 - ROLAMENTO 6005 ZZ""";"=""Un""";"0";"0";"1";"0";"0";"-1";"9,5";;"0"
"=""501695 - CORTINA DE SOLDA 1,15 X 1,77""";"=""Un""";"0";"0";"1";"0";"0";"-1";"380";;"0"
"=""501896 - MANGUEIRA HIDR R1 3/8""""""";"=""Un""";"0";"0";"1";"0";"0";"-1";"913,46";;"0"
"=""501952 - MANG AP KARCHER""";"=""M""";"0";"0";"1";"0";"0";"-1";"63,7215";;"0"
"=""501965 - CONJ. PEÇAS P/ MÁQUINA DE SOLDA""";"=""Un""";"1";"0";"1";"0";"0";"-1";"1500";;"0"
"=""502157 - DEFLETOR INTERNO DO INSERTO PEM X12320488-WAGNER CÓD. 69.985-0""";"=""Un""";"0";"0";"1";"0";"0";"-1";"11,93";;"0"
"=""504290 - CONVERSOR FREQ. CFW100040S2024PSZ C/10413799""";"=""Un""";"0,666666666666667";"0";"1";"0";"0";"-1";"1110,62";;"0"
"=""504309 - ELEMENTO FILTRANTE AP 200 COD. 0290132""";"=""Un""";"0";"0";"1";"0";"0";"-1";"49";;"0"
"=""504387 - DENTE CORRENTE 61PMM3 MS P/170-180-192 STILHL 36100001640-820D""";"=""Un""";"9,66666666666667";"0";"1";"0";"0";"-1";"98,75";;"0"
"=""504455 - CONEXÃO C/ ANEL 1/4"""" P/ MANG. 5/16"""" REF. ARC-120/14516""";"=""Un""";"0";"0";"1";"0";"0";"-1";"54,42";;"0"
"=""504456 - CONEXÃO C/ ANEL 3/8"""" P/ MANG. 3/8"""" REF. ARC-120/3838""";"=""Un""";"0";"0";"1";"0";"0";"-1";"64,52";;"0"
"=""504564 - BOTOEIRA IND. XAC - A2713 - 2B + EMERGÊNCIA COD. CCA5667""";"=""Un""";"1,33333333333333";"0";"1";"0";"0";"-1";"182,58";;"0"
"=""504594 - FILTRO BRANCO 100 MESH (=FM27100) CÓD. T500.00A""";"=""Un""";"1";"0";"1";"0";"0";"-1";"518";;"0"
"=""504606 - ANEL ELASTICO I 32""";"=""Un""";"0";"0";"1";"0";"0";"-1";"4";;"0"
"=""504679 - ENCODER SP 2500""";"=""Un""";"0";"0";"1";"0";"0";"-1";"2369,16";;"0"
"=""504680 - ELEMENTO PRIMARIO FILTRO DE AR 4020/4025/4030/4040""";"=""Un""";"0,333333333333333";"0";"1";"0";"0";"-1";"196,2";;"0"
"=""504771 - ABRAÇADEIRA GALVANIZADA 9MM 1/2 - 3/4""";"=""Un""";"0";"0";"1";"0";"0";"-1";"450";;"0"
"=""504871 - ELEMENTO FILTRO AR COALESCENTE CÓD. 702990 P/ COMPRESSOR SRP 4040 SÉRIE 31954.""";"=""Un""";"0,333333333333333";"0";"1";"0";"0";"-1";"1546,55";;"0"
"=""504872 - CONECTOR FEMEA TUBO X ROSCA 1/4"""" X 1/4"""" REF. ARC-4005/1414""";"=""Un""";"0";"0";"1";"0";"0";"-1";"14,79";;"0"
"=""504875 - ENGATE RÁPIDO C/ ROSCA FÊMEA 1/4"""" REF. ARC-ER-767-F-1/4""";"=""Un""";"5";"0";"1";"0";"0";"-1";"16,19";;"0"
"=""504878 - PISTOLA ALTO RENDIMENTO LVLP""";"=""Un""";"0";"0";"1";"0";"0";"-1";"1795";;"0"
"=""504879 - CAPA DE AR""";"=""Un""";"0";"0";"1";"0";"0";"-1";"470";;"0"
"=""504880 - KIT BICO AGULHA""";"=""Un""";"0";"0";"1";"0";"0";"-1";"465";;"0"
"=""504881 - GRAXA SINTÉTICA P/ ALTAS ROTAÇÕES, SAPPHIRE HI-SPEED""";"=""KG""";"0";"0";"1";"0";"0";"-1";"740";;"0"
"=""504894 - MOLA MC 801116""";"=""Un""";"0";"0";"1";"0";"0";"-1";"110";;"0"
"=""504895 - MOLA MC 804017""";"=""Un""";"0";"0";"1";"0";"0";"-1";"140";;"0"
"=""504981 - CONJ REPARO VALVULA DE ADMISSAO E COMPRESSAO AR DE 2"""" C/ 2PÇS""";"=""Un""";"0";"0";"1";"0";"0";"-1";"183,31";;"0"
"=""504982 - REPARO DA VALVULA DE ADMISSÃO 2""""""";"=""Un""";"0,333333333333333";"0";"1";"0";"0";"-1";"645,99";;"0"
"=""504984 - MOTOSERRA GASOL 210 35CM STIHL""";"=""Un""";"0";"0";"1";"0";"0";"-1";"1839,88";;"0"
